actorName,actorMovieCount,actorAwardNominations,actorAwardWins
Anna Walton,18,1,3
Aleksey Petrenko,81,1,3
Margaret Rutherford,57,4,4
Swoosie Kurtz,94,15,3
Artùr Somlay,73,0,0
Ross Noble,7,0,0
G.B. Jones,4,1,1
Linh Đan Phạm,30,1,1
Joonas Bragge,3,0,0
Tilda Swinton,81,152,64
Amr Waked,44,1,9
Michael Herbig,30,12,23
Richard Kiley,136,8,9
Naomi Velissariou,6,1,0
Alexis Knapp,24,1,1
Chris Salvatore,18,1,1
Michael Bryant,68,3,0
Donnie Yen,76,18,17
Melanie Lynskey,76,16,7
Natalie Portman,63,131,84
Don Backy,25,0,0
Bruce Lee,32,2,2
Ron Ely,40,1,1
Nils Jørgen Kaalstad,37,2,0
Tom Green,33,8,11
Marita Breuer,57,2,2
Lynn Collins,46,2,0
Lilly-Fleur Pointeaux,42,0,0
Ertan Šaban,26,0,0
Rita Josa,1,0,0
Behrouz Vossoughi,72,0,0
Nova Pilbeam,16,0,0
Justin Long,91,8,3
Paul Walker,42,11,7
Eric Edelstein,90,2,0
Gong Yoo,19,9,3
Harlan Ellison,8,1,9
David Cubitt,68,3,2
Amy E Watson,8,0,0
Mae Clarke,123,0,0
Katie Chang,12,0,0
Henry Morgan,165,12,4
