actorName,actorMovieCount,actorAwardNominations,actorAwardWins
Michelle Nicastro,34,1,1
Michelle Trachtenberg,60,10,5
Devon Gummersall,67,1,0
Florence Hartigan,17,0,0
Thomas Mann,33,3,1
Paula Patton,27,12,1
Julie Harris,101,15,5
Anthony Mackie,65,30,6
Omkar Das Manikpuri,18,1,0
Henry G. Sanders,130,0,0
Chloë Grace Moretz,66,41,27
Pierce Brosnan,85,22,21
Catherine Mary Stewart,69,0,0
Tyrese Gibson,32,15,2
Justin Timberlake,84,99,46
Aidan Quinn,89,13,4
Rebecca Hall,42,28,12
Jeanne Tripplehorn,41,7,1
Sam Neill,134,28,11
Hugh Grant,66,32,20
Raúl Juliá,49,9,6
Julia Roberts,62,98,59
Charlotte Frogner,12,1,1
Amy Poehler,86,80,27
Harvey Keitel,154,19,26
Chris Wylde,52,1,1
Annie Liu,20,1,0
Frank Sinatra,68,22,19
Ryosuke Watabe,1,0,0
Malin Åkerman,59,5,1
Shauna Macdonald,42,4,2
Roy Scheider,88,9,4
Michael Bonsignore,4,0,0
Gabriele Caprio,7,0,0
Mats Åhlfeldt,2,0,0
Peter Stormare,182,9,3
Michael Stuhlbarg,48,50,12
Ralph Fiennes,72,104,40
Robert Carradine,132,2,1
Christopher Lloyd,225,14,9
Devon Sawa,47,4,1
Claudio Bisio,56,6,2
Paulette Goddard,66,2,2
Liam Boyle,26,0,0
Anwar Congo,1,0,0
Jimi Mistry,37,0,0
Pavel Liška,64,3,5
John Hawkes,134,60,18
Ashley Judd,52,18,7
Ivan Urgant,19,7,5
Roma Downey,29,7,4
D. David Morin,71,1,1
Bárbara Lombardo,31,3,0
Emily Blunt,43,70,17
Anthony Hopkins,134,63,50
Steve Buscemi,159,65,29
Steven Pasquale,24,0,0
America Ferrera,49,39,21
Fernanda Andrade,35,0,0
Keanu Reeves,96,22,12
Vidya Balan,41,29,38
Lasse Kolsrud,23,0,0
Tobey Maguire,47,31,8
Kip Pardue,62,1,2
Sienna Guillory,61,2,0
Jesper Christensen,124,12,17
Molly Ringwald,64,7,4
Natar Ungalaaq,14,5,5
Jeffrey Wright,65,39,14
Treat Williams,123,14,4
Priscilla C. Shirer,3,0,0
Roy Dupuis,71,6,6
David Roberts,68,1,0
Robin Bartlett,66,3,0
Jason Ian Drucker,11,2,0
Ansel Elgort,18,13,10
Gabriel Macht,33,1,1
Rachel Weisz,57,38,22
Erin Evans,9,0,0
Lily Collins,23,6,5
Colin Friels,75,11,6
Isiah Thomas,3,0,0
Izzy Diaz,50,0,0
Xu Zheng,1,0,0
Scottie Thompson,61,1,1
Ja Rule,40,7,0
Annabelle Wallis,29,2,0
Katherine Heigl,45,30,11
Rob Corddry,99,11,5
Omar Metwally,27,1,1
Dan Zukovic,36,6,5
Jelly Lin,6,2,1
Stephen McNally,138,0,0
Pamela Gidley,44,0,0
Helen Hunt,105,68,47
Regina Advento,1,0,0
Jeff Clark,74,1,0
Beau Bridges,205,40,11
Miranda Richardson,120,41,20
Shameik Moore,12,3,0
"""Scott Carrot Top Thompson""",23,1,1
Lauren Cohan,32,3,0
Simone Simon,38,0,0
Kyle Walsh,3,0,0
Chiara Mastroianni,56,4,2
Hal Holbrook,133,32,16
Jennifer Grey,42,6,2
Christian Slater,124,18,8
Gina Carano,15,4,0
James Purefoy,72,2,1
Hank Azaria,94,36,17
Fabio De Luigi,38,4,1
Emo Philips,22,0,0
Diego Luna,64,21,17
Sean Faris,46,2,2
Jason Segel,37,27,7
Jennifer Morrison,57,13,9
Josefin Asplund,9,1,1
Romola Garai,40,18,7
Will Beinbrink,65,0,0
Vik Muniz,1,0,0
Maggie Lawson,51,0,0
Zero Mostel,34,3,1
Juan José Campanella,5,39,57
Karl Urban,48,8,8
Bérénice Bejo,59,24,15
Maxim Gaudette,31,3,2
James Le Gros,126,4,0
Jonathan Brandis,48,7,1
Orlando Bloom,42,27,27
Melissa Leo,132,76,50
Angela Bassett,92,62,31
Brad Dourif,168,13,9
Matt LeBlanc,32,31,6
Rainn Wilson,75,19,10
Rudolph Valentino,39,1,1
Vildan Atasever,19,2,2
Martin Rapold,54,1,1
Simon Baron-Cohen,1,0,0
Christopher Eccleston,77,12,7
Kevin Spacey,84,87,57
Jennifer Rubin,47,0,0
Darling Narita,7,1,1
Michael Cera,82,26,7
Konstantin Kryukov,34,1,0
Scarlett Johansson,64,140,43
Dakota Fanning,65,28,17
Greg Speirs,1,0,0
James Mason,153,13,8
Kurt Russell,99,13,7
Neel Sethi,2,6,0
Angela Lansbury,112,57,29
Bill Nighy,145,30,15
Peter Mullan,85,33,44
Christopher Guest,88,20,9
Gal Gadot,25,19,6
Jon Voight,98,35,25
Ron Livingston,91,3,1
Joel Courtney,17,6,2
"""Qorianka Kilcher""",26,7,7
Roberto Benigni,30,43,59
William Petersen,39,12,4
Joseph E. Murray,14,0,0
Tim McGraw,18,14,4
