directorName,directorMovieCount,directorAwardNominations,directorAwardWins
Frank Coraci,13,0,0
Terry George,11,19,13
Arthur Mulholland,2,0,0
Daniel Barber,4,6,3
Robert Ellis Miller,60,3,1
Levan Akin,9,1,0
B Unnikrishnan,1,0,0
Terence Davies,12,39,18
John Crowley,9,13,17
Kenneth Branagh,22,63,36
Bruce Beresford,53,30,10
David Hunt,2,1,1
Harold Ramis,14,11,9
Jonas Åkerlund,139,13,9
John Whitesell,56,2,2
Roger Avary,8,3,14
Dominic Sena,54,1,3
Werner Herzog,71,54,54
Jonathan Levine,15,6,7
Hawley Pratt,96,1,1
Juzo Itami,11,16,25
David Atkins,2,0,0
David F. Sandberg,16,2,4
Dearbhla Walsh,26,9,5
Ry Russo-Young,12,5,4
Brian Levant,20,1,2
Rowdy Herrington,9,1,0
Gary David Goldberg,3,15,15
Wuershan,5,1,3
Oles Sanin,4,4,0
Sally Potter,15,13,17
Robert Clouse,23,3,2
Graham Baker,11,3,1
Youssef Chahine,45,19,9
Zoltan Korda,20,7,2
Richard Stanley,15,8,4
Brenda Chapman,3,10,3
Emma-Kate Croghan,5,3,1
Charles Matthau,7,1,2
Dan Zukovic,6,6,5
Ben Wheatley,22,23,7
Luke Wilson,2,4,10
Stephan Brenninkmeijer,21,1,4
Mario Andreacchio,42,1,1
Susan Buice,2,1,3
Don Mancini,4,3,1
Majid Majidi,19,17,37
Barry W. Blaustein,4,1,3
Tony Maylam,21,1,1
Todd Graff,3,3,0
Gonzalo López-Gallego,12,6,3
Jon Matthews,7,1,0
Luc Besson,31,26,28
Kevin Rodney Sullivan,36,5,3
Kinji Fukasaku,68,12,24
Jan Gissberg,12,1,1
Phil Vischer,27,1,1
Ken Kwapis,40,10,4
Ivan Petukhov,1,0,0
Frank Urson,1,0,0
Austin Chick,3,2,1
James Kerwin,8,1,17
Jonathan Lynn,14,1,6
Jean-François Richet,10,6,3
Dan Mazer,9,8,4
Thomas Balmès,9,4,6
Paul Lynch,62,6,2
Dean DeBlois,6,25,10
Jean-Marie Poiré,15,3,0
Bruce Timm,10,12,5
Heddy Honigmann,24,9,19
Gastón Duprat,26,21,15
Ivan Shurhovetsky,5,0,0
Lewis Allen,1,0,0
Jack Bender,72,28,9
Edward Zwick,25,22,23
Marcel Rasquin,3,2,7
Christian Duguay,31,7,10
Brendan Malloy,34,1,1
Joel Anderson,2,1,1
Ruba Nadda,26,1,3
Don Roos,7,7,5
Kenny Ortega,39,16,13
Michelangelo Antonioni,34,19,48
Khalid Mohammed,1,0,0
Peter Weir,30,59,42
Paul McGuigan,23,12,8
Charles S. Dutton,7,28,11
Jeff Blyth,9,0,0
Andrew Davis,16,4,1
Yann Arthus-Bertrand,13,5,3
Andrew Fleming,27,4,1
Bruno Corbucci,53,0,0
Christian Alvart,14,3,6
William Dear,37,6,2
Cassandra Nicolaou,9,1,4
Sergei Loban,4,7,2
Hal E. Chester,2,0,0
Gary Trousdale,12,5,1
Marek Nowicki,12,2,0
Hoyt Yeatman,3,5,2
Brad Silberling,29,5,1
Ari Sandel,10,3,8
Paul Thomas Anderson,39,183,83
Ryoo Seung-wan,15,20,19
Ken Shapiro,2,1,0
Dmitriy Dyachenko,12,3,3
Pavel Lungin,19,22,13
Rawson Marshall Thurber,14,2,0
Paolo Sorrentino,27,85,64
Tom Hooper,21,50,34
Robert Townsend,37,6,7
Sergei Bodrov Jr.,23,8,15
Conrad Vernon,7,12,1
Richard Fleischer,61,11,3
Charles Ferguson,4,15,7
Tim Johnson,6,2,6
Ford Beebe,104,1,0
Adam Goldberg,1,1,1
Pierre Morel,11,0,0
Hari,1,0,0
Chris Noonan,12,8,7
George Hickenlooper,21,9,7
James L. Brooks,6,81,49
Philip Moeller,2,0,0
Michaël R. Roskam,8,15,13
Roman Polanski,39,76,86
Nadezhda Kosheverova,20,0,0
Kevin Costner,3,59,54
Charles Herman-Wurmfeld,10,1,4
Etan Cohen,6,1,2
Brian Helgeland,8,22,31
Stanley Kramer,20,33,31
Demian Lichtenstein,9,1,0
Darren Grant,38,1,1
Terry Gilliam,19,30,24
Kurt Wimmer,3,0,0
Justin Zackham,3,1,1
Gerard Johnstone,4,10,4
Joe Dante,40,11,18
Boaz Yakin,9,3,5
Fred Durst,22,1,1
Chris Williams,14,0,0
John Derek,11,3,6
Mitchell Lichtenstein,4,9,2
Alan Smithee,9,17,25
John Landis,45,16,10
Gerry Lively,12,0,0
Safy Nebbou,12,3,1
Kenneth Lonergan,3,96,63
Billy Crystal,7,50,34
David Mamet,20,36,15
Nicolette Krebitz,7,10,13
Nicholas Fackler,8,1,1
Troy Miller,116,19,8
Pascal Chaumeil,15,2,4
Jeannot Szwarc,79,1,3
Coky Giedroyc,34,3,1
Arthur Penn,27,15,15
Oliver Parker,3,3,4
Bruce Malmuth,9,0,0
Chris Buck,6,11,12
Sooraj R. Barjatya,6,4,4
Esben Tønnesen,10,2,6
Sam Taylor,23,0,0
Henry Alex Rubin,6,4,10
Vishal Bhardwaj,13,33,16
Anna Rose Holmer,4,11,10
Joss Whedon,13,44,26
Michael Cristofer,5,6,7
Saran,12,0,0
Mihalis Kakogiannis,16,15,15
Adam Jay Epstein,1,0,0
Ronald Neame,26,10,8
Edward Norton,2,80,49
Eric Bress,2,1,2
Ed Gass-Donnelly,11,3,7
Park Chan-wook,20,53,62
Sidney Poitier,9,42,27
Bobby Roth,79,7,4
Josef Rusnak,17,1,1
Brian Gibson,21,3,2
Aaron Norris,12,0,0
Richard Brooks,2,2,0
Tom Dey,7,0,0
Nadia Tass,16,3,10
Susanne Bier,21,37,38
Alf Sjöberg,21,7,4
Walter Hill,25,16,14
Jamie Babbit,74,7,14
Brian Koppelman,4,1,0
Burny Mattinson,2,5,2
Carlos Reygadas,12,24,45
Lake Bell,7,14,6
Robert Longo,8,1,0
Stanley Kubrick,16,58,40
Sally Field,3,80,43
Ciro Guerra,5,29,36
Shane Dawson,10,3,2
Karen Shakhnazarov,20,24,16
George B. Seitz,108,0,0
Robert Conway,11,0,0
Andrucha Waddington,23,16,14
Anne Fletcher,7,0,0
Brian Klugman,2,4,4
Charles Jarrott,52,3,3
F. Richard Jones,70,0,0
Betty Thomas,30,15,8
Kees Van Oostrum,7,6,3
Michael Hoffman,16,7,2
Steve Miner,52,4,5
Christopher McQuarrie,4,5,9
William Brent Bell,7,2,0
Dylan Baker,1,13,12
Brian Baugh,6,1,1
David Von Ancken,35,1,5
Mark Steven Johnson,7,1,0
Bryan Spicer,68,1,0
Tom Kalin,10,6,6
Joseph Sargent,92,22,14
Adriaan Ditvoorst,9,2,0
Hal Ashby,17,12,3
Christopher Guest,16,20,9
Keenen Ivory Wayans,7,14,5
Luis Prieto,15,2,9
Keith Bearden,6,1,6
Bob Clark,29,9,7
Park In-je,1,0,0
Mike Tollin,18,9,6
Billy Bob Thornton,6,55,32
John McTiernan,11,5,6
Mark Christopher,8,1,8
Ranjith,2,0,0
Julia Ducournau,3,17,14
Clare Kilner,13,3,3
Stephen Roberts,108,0,0
Reb Braddock,2,1,0
Charles L. Gaskill,28,0,0
Rob Epstein,18,18,23
Dexter Fletcher,4,7,3
Leigh Janiak,4,3,0
Lucky McKee,12,6,10
Chris Carter,7,14,12
Dwight H. Little,50,0,0
Nikhil Advani,11,9,5
Rob Thomas,1,0,0
Delmer Daves,30,7,2
Lu Chuan,8,15,22
Woody Allen,55,213,136
Vladimir Grammatikov,18,2,1
Brian Fee,1,1,0
Richard Greenberg,3,5,1
Cédric Kahn,14,18,9
Jon Erwin,14,3,3
David Nutter,50,16,13
Jeffrey W. Byrd,23,2,0
Jay Russell,10,5,5
Martin Davidson,20,1,1
Steve Carver,16,0,0
